Rs,Rj,Ra,Sj,Sa,Sb,Cj,Ca,Cb,Fc
0.6231802733909868,0.7054421812124874,0.6429643392099376,0.7159230268408863,0.6083106790715203,0.47688642390094627,0.44618496145651665,0.44377841695707293,0.5796168356467598,0.45256388026897526
0.5648315786559159,0.479019436974075,0.35044804866160045,0.422969786558939,0.35347983340723044,0.46751013282629605,0.5567941953185539,0.22232909664715567,0.6105117623205805,0.329625459281497
0.4642384842937517,0.5041899014825428,0.6072615279502778,0.5606646561463267,0.6660497354801352,0.4581433459051665,0.5922731081917442,0.35432821392985075,0.5358125754440787,0.5006518399805
0.5411087899937437,0.44647640530039934,0.34951230312000037,0.8366138214186092,0.3126463705294258,0.34886808223667254,0.4270132531858276,0.6214753465866277,0.45848698033850976,0.4032891144401756
0.6049325839360478,0.4172717087439207,0.5030016965750876,0.6702491694046184,0.3893427652542185,0.5404578627443488,0.3927550185384606,0.5497264892502722,0.5871943123171215,0.6058429562813102
0.5222439324766786,0.5346628787868095,0.4165953117993024,0.5983227606816892,0.7252489503695697,0.42210350382362316,0.5519647977700374,0.4761760180045508,0.5681009171738957,0.5000862441678173
0.44257073926610335,0.4156756563327496,0.19614457469045002,0.32916218893287974,0.4985373154887535,0.20108607928110578,0.7314159422574776,0.6022669627704137,0.59070461195592,0.6060536287677759
0.462829268441328,0.5682583532608761,0.43538175147304725,0.5096154798543397,0.33601833475938825,0.5574273367120623,0.4219507130655028,0.44426811903790436,0.47460931956037034,0.3774685742542973
0.4793864337525662,0.5635252298949536,0.40503349363902674,0.5739613927128182,0.6774035967799514,0.6439263166057159,0.46235666207023185,0.541383140226069,0.6884319894848488,0.5989790854077202
0.6703854013454906,0.7579117545042854,0.3244002470078432,0.5717438481270181,0.33913574930170604,0.4635869782327191,0.5712918153029506,0.43179869734263926,0.26263123039993885,0.4476161872838879
0.4441286517977643,0.5242636513841534,0.6365998723690556,0.5546522562942029,0.5376929160113225,0.2417873598808753,0.15483324171844137,0.32158303989587367,0.6068067873914277,0.29108657014326544
0.4923240519983576,0.4723343180065487,0.15645925130161062,0.4533442106438872,0.40931864469552715,0.44465054721788766,0.44889224729237587,0.5921419543513773,0.5099333336616694,0.42498219976372364
0.41050590855648394,0.34797576246664125,0.5126312292615984,0.49610109271006464,0.6393045261842151,0.26965029350340064,0.4534384241892039,0.49553607117908827,0.5342447269498154,0.6501821592692985
0.6626580867128222,0.5825301809553927,0.615174870332665,0.6654161406005528,0.535603255352462,0.6139359517916785,0.6076971585785337,0.04780885427747486,0.47875828002100573,0.6316303581426597
0.6501254409715518,0.4533259939980311,0.4976420333370286,0.43299038917522137,0.7744907445871992,0.2896360591932572,0.48932268839993653,0.5099383421996156,0.8779763576402347,0.4240227213878087
0.5090488397046711,0.8442767109701017,0.5040806956653501,0.6038829719582846,0.6574607883543893,0.4478725337204996,0.38114028188687754,0.2050372203740449,0.23514339991296718,0.3481619950672712
0.389672231031402,0.3908858529990677,0.4211355577302598,0.31484767820930637,0.642930641412182,0.35830789785931705,0.7002871834294356,0.27401119686816233,0.31036768682579097,0.5879467267469539
0.528548997809204,0.5046642719085489,0.4958903068888438,0.7536237268789765,0.3663674318120245,0.4910256215051354,0.5969731480952271,0.40419578309738535,0.5740478666134453,0.5015625126544202
0.6867050974984528,0.403745431435404,0.444025357649214,0.6118703406976649,0.4550283742482477,0.7499525083737937,0.41477530821005015,0.36848203202627505,0.35008315286169467,0.3524551176936491
0.4366414879391538,0.8134415488673992,0.47874444377882225,0.5216064534152198,0.4679066837060009,0.3059569059036682,0.4176725176331261,0.5033338501435397,0.5761293131545783,0.722355347161877
0.37494325432323095,0.44638222156676666,0.3866846019487635,0.6700857472173039,0.5309824723522308,0.49960624553023747,0.24275542480357448,0.4436787012643317,0.5929055296054536,0.5159776507332619
0.49594567091573083,0.6219861612977343,0.6244795888642504,0.35428916110047304,0.48422696446826224,0.5056229504970267,0.408836973029738,0.46041588911290515,0.5163272432229804,0.5784285002160596
0.353303462301116,0.5125948692260333,0.20767537360999092,0.6786693754217814,0.6055244504553754,0.5654158745113045,0.32180315426937456,0.2639614760296534,0.4069487756642487,0.5123026378341249
0.3542925154788952,0.8458300607310498,0.3897978505021907,0.47974383658843767,0.42152231463615386,0.578652285838761,0.5209650495431429,0.7125473955914092,0.6476542902764141,0.5570134149000183
0.3838087544246953,0.5526373800054488,0.41222489377016686,0.33676791867055744,0.512669490726493,0.5593899209714737,0.34774600697159264,0.5909091297244775,0.2349028834079252,0.4727552001127041
0.2547050267993134,0.5113832488826968,0.42689807274806746,0.5248299068188544,0.5689840096751017,0.6219881900640329,0.5770878539819385,0.5111345828232291,0.18788233942834054,0.5904721954308795
0.46118931711371847,0.4110910851101991,0.408782902561354,0.4090012006097974,0.5545353810229345,0.4904908544215516,0.4292106217530972,0.325743232869219,0.5495170127758355,0.3683191759440382
0.5065739124345683,0.6684543466670144,0.3312618323505407,0.6501522146884062,0.59061136365876,0.580301831983419,0.519545867417973,0.4801507220804923,0.4913165902429393,0.6253229004516682
0.7581369900473893,0.4459009700094728,0.3895942585419249,0.6024404506738248,0.5383379711975688,0.329612655060076,0.36946774321575615,0.6108402600984085,0.3446127757755634,0.5233587168060964
0.5537525262036738,0.6212173473578189,0.520126175990129,0.40878589673335863,0.4996754733134912,0.4307874226265893,0.4660194811893329,0.23537263284575433,0.40089429082827854,0.5020404759572284
0.3515644079946716,0.526043542832037,0.5048818700443418,0.48513132828544947,0.5940982377845159,0.6203536372302021,0.7945205873486415,0.30588024148674586,0.31662786967186796,0.7463921070600464
0.6087175844134034,0.5764143989752553,0.4288829238230591,0.6186103617800907,0.48379446181183694,0.3533187158821871,0.5412535045808217,0.4373770963358186,0.5537458126132195,0.5424657581475238
0.5564144823226158,0.35847631654893325,0.5019526595275257,0.45331007847802507,0.6183985382069752,0.5906923977915866,0.2709706514107647,0.5095933478881189,0.6248804244391125,0.6788249199861387
